displacement,doors,fuel,kilowatts,location,manufacturer,mileage,model,price,title,year,color,cruiseControl,drivetrain,emissionStandard,rimSize,transmission,type,airCondition,navigation,registration,transmission_encoded,type_encoded
1.9,3-Feb,Dizel,66,Ilijaš,Audi,200000,A3,4600,Audi A3 2002 1.966kw,2002,Crna,False,Prednji,Euro 3,15,Manuelni,Malo auto,True,False,True,0,2
2.5,5-Apr,Dizel,132,Prnjavor,Audi,200000,A4,1900,Audi A4,2002,Siva,True,Sva četiri,Euro 4,16,Manuelni,Limuzina,True,False,True,0,3
2.4,5-Apr,Plin,125,Lukavac,Audi,200000,A4,5500,Audi A4,2002,Siva,True,Prednji,Euro 4,16,Automatik,Limuzina,True,False,True,2,3
2.5,5-Apr,Dizel,114,Sanski Most,Audi,200000,A6,3200,Audi A6,2002,Crna,False,Prednji,Euro 3,16,Manuelni,Limuzina,True,True,True,0,3
2.5,5-Apr,Dizel,114,Sanski Most,Audi,200000,A6,2900,Audi A6,2002,Crna,False,Prednji,Euro 3,16,Manuelni,Limuzina,True,True,True,0,3
1.9,5-Apr,Dizel,96,Čelinac,Audi,200000,A4,5400,Audi A4 1.9 TDI REGISTROVAN DO 11/2024,2002,Crna,False,Prednji,Euro 5,16,Manuelni,Limuzina,False,False,True,0,3
3.0,5-Apr,Dizel,180,Doboj,Audi,0,A6,24999,Audi A6 3.0 Quattro 2012,2012,Bijela,True,Sva četiri,Euro 5,18,Automatik,Limuzina,True,True,False,2,3
3.0,5-Apr,Dizel,180,Ilijaš,Audi,0,A6,32900,"Audi A6 3,0 Tdi quattro",2012,Crna,True,Sva četiri,Euro 5,18,Automatik,Limuzina,True,True,True,2,3
2.0,5-Apr,Dizel,130,Brčko,Audi,0,A4,20500,Audi A4 2.0 TDI,2012,Ljubičasta,False,Sva četiri,Euro 5,16,Manuelni,Limuzina,False,False,False,0,3
1.6,5-Apr,Dizel,77,Travnik,Audi,0,A3,11900,Audi A3 Sportback 1.6 TDI 2012 S-tronic,2013,Bijela,True,Prednji,Euro 5,16,Automatik,Malo auto,True,False,False,2,2
2.0,5-Apr,Dizel,110,Kalesija,Audi,0,A3,21900,Audi A3 2.0 TDI 110KW,2013,Crvena,False,Prednji,Euro 5,16,Manuelni,Malo auto,False,False,False,0,2
2.0,5-Apr,Dizel,100,Travnik,Audi,0,A4,21900,Audi A4 2.0 TDI Sline 2013 Facelift UVOZ,2013,Smeđa,True,Prednji,Euro 5,18,Manuelni,Limuzina,False,True,False,0,3
2.0,5-Apr,Dizel,110,Sarajevo - Novo Sarajevo,Audi,0,Q5,33900,Audi Q5 2.0 TDI Quatrro 2014 * 192 500km *DETALJNO*,2014,Siva,True,Sva četiri,Euro 5,16,Manuelni,SUV,False,True,True,0,6
2.0,5-Apr,Dizel,110,Travnik,Audi,0,A3,21900,Audi A3 Sportback 2.0 TDI 2014,2014,Plava,True,Prednji,Euro 5,18,Manuelni,Malo auto,False,False,False,0,2
2.0,5-Apr,Dizel,130,Trebinje,Audi,0,A4 Allroad,30500,Audi A4 Allroad 2.0 Automatik,2014,Bijela,True,Sva četiri,Euro 5,18,Automatik,Karavan,False,True,True,2,4
3.0,5-Apr,Dizel,180,Brčko,Audi,0,A5,29999,"Audi A5 3.0 TDI Quattro,Sportback,S-Tronic,LED,S-Line,Godina:2014",2014,Siva,True,Sva četiri,Euro 5,18,Automatik,Sportski/kupe,False,True,True,2,5
3.0,5-Apr,Dizel,176,Ilijaš,Audi,0,A8,51900,Audi A8L 3.0TDI QUATTRO,2014,Crna,True,Sva četiri,Euro 5,16,Automatik,Limuzina,False,True,True,2,3
2.0,5-Apr,Dizel,140,Zenica,Audi,0,Q5,48000,Audi Q5,2015,Plava,True,Prednji,Euro 5,17,Automatik,SUV,False,True,True,2,6
3.0,5-Apr,Dizel,150,Brčko,Audi,0,A6,49500,Audi A6 Ultra 3.0TDI 2015.,2015,Siva,False,Prednji,Euro 5,20,Automatik,Limuzina,False,False,False,2,3
3.0,5-Apr,Dizel,210,Mostar,Audi,0,Q8,128900,AUDI Q8 50 TDI S-LINE FULL,2018,Plava,False,Sva četiri,Euro 5,16,Automatik,SUV,False,False,False,2,6
2.0,5-Apr,Benzin,228,Brčko,Audi,0,S3,109900,Audi S3 Limuzina TFSI Quattro S-tronic 310KS,2022,Crna,True,Sva četiri,Euro 6,19,Automatik,Sportski/kupe,True,True,False,2,5
2.0,5-Apr,Dizel,150,Brčko,Audi,0,Q5,147720,Audi Q5 Sportback 40 TDI Quattro S-line 204 ks,2022,Siva,True,Sva četiri,Euro 6,20,Automatik,SUV,True,True,False,2,6
2.0,5-Apr,Dizel,150,Brčko,Audi,0,Q5,144905,Audi Q5 Sportback 40 TDI Quattro S-line 204ks,2022,Siva,True,Sva četiri,Euro 6,20,Automatik,SUV,False,True,False,2,6
