displacement,kilowatts,mileage,price,year,transmission_encoded,type_encoded
1.9,66,200000,4600,2002,0,2
2.5,132,200000,1900,2002,0,3
2.4,125,200000,5500,2002,2,3
2.5,114,200000,3200,2002,0,3
2.5,114,200000,2900,2002,0,3
1.9,96,200000,5400,2002,0,3
3.0,180,0,24999,2012,2,3
3.0,180,0,32900,2012,2,3
2.0,130,0,20500,2012,0,3
1.6,77,0,11900,2013,2,2
2.0,110,0,21900,2013,0,2
2.0,100,0,21900,2013,0,3
2.0,110,0,33900,2014,0,6
2.0,110,0,21900,2014,0,2
2.0,130,0,30500,2014,2,4
3.0,180,0,29999,2014,2,5
3.0,176,0,51900,2014,2,3
2.0,140,0,48000,2015,2,6
3.0,150,0,49500,2015,2,3
3.0,210,0,128900,2018,2,6
2.0,228,0,109900,2022,2,5
2.0,150,0,147720,2022,2,6
2.0,150,0,144905,2022,2,6
2.0,228,0,109900,2022,2,5
3.0,251,0,198185,2022,2,6
2.0,150,0,164185,2022,2,6
2.0,150,0,162582,2022,2,6
1.5,110,0,69950,2022,2,6
2.0,150,0,127000,2022,2,6
2.0,150,0,119000,2022,2,6
2.0,150,0,114000,2022,2,6
3.0,210,0,215204,2022,2,6
3.0,210,0,156872,2022,2,3
2.0,110,0,69000,2022,2,3
3.0,170,0,179970,2023,2,6
3.0,170,0,179970,2023,2,6
2.0,147,0,124888,2023,2,6
3.0,251,0,174900,2023,2,6
3.0,210,0,185770,2023,2,6
2.5,294,0,171710,2023,2,6
3.0,170,0,149962,2023,2,6
2.0,228,0,109900,2023,2,5
2.0,110,0,102294,2023,2,6
2.0,110,0,94207,2023,2,6
2.0,85,0,61100,2023,2,2
2.0,85,0,59650,2023,2,2
2.0,110,0,79700,2023,2,6
2.0,147,0,119900,2023,2,6
0.6,350,0,265511,2023,2,6
1.5,110,0,60150,2023,2,2
2.0,85,0,60150,2023,2,2
3.0,250,0,185987,2023,2,6
3.0,170,0,177964,2023,2,6
3.0,170,0,182290,2023,2,6
2.0,110,0,90630,2023,2,6
0.6,220,0,170500,2023,2,6
4.0,373,0,249920,2023,2,6
2.0,85,0,61600,2023,2,2
1.5,110,0,96598,2023,2,2
3.0,253,0,185963,2023,2,5
3.0,170,0,152044,2023,2,6
3.0,170,0,152264,2023,2,6
3.0,170,0,148305,2023,2,6
3.0,170,0,179944,2023,2,6
4.0,373,0,241275,2023,2,6
2.0,85,0,59500,2023,2,2
3.0,250,0,199655,2023,2,6
1.5,110,0,59650,2023,2,2
1.5,110,0,59650,2023,2,2
3.0,170,0,184624,2023,2,6
2.0,150,0,141200,2023,2,6
2.0,150,0,141900,2023,2,6
3.0,210,0,189900,2023,2,6
3.0,170,0,182976,2023,2,6
3.0,210,0,189542,2023,2,6
2.9,331,0,223020,2023,2,4
2.0,85,0,57900,2023,0,2
2.0,85,0,59650,2023,2,2
3.0,170,0,188502,2023,2,6
3.0,210,0,199982,2023,2,6
3.0,210,0,199574,2023,2,6
3.0,210,0,199574,2023,2,6
3.0,170,0,179970,2023,2,6
3.0,210,0,189900,2023,2,6
2.0,110,0,79600,2023,2,6
0.6,220,0,174150,2023,2,6
0.6,220,0,174150,2023,2,6
2.0,110,0,79600,2023,2,6
2.0,147,0,118300,2023,2,6
2.0,110,0,102150,2023,2,6
0.6,350,0,260044,2023,2,6
0.6,220,0,170455,2023,2,6
4.0,373,0,252734,2023,2,6
2.0,110,0,107904,2023,2,6
2.0,110,0,107904,2023,2,6
2.0,85,0,58498,2023,2,2
2.0,110,0,88006,2023,2,6
1.5,110,0,56457,2023,0,2
2.0,150,0,131000,2023,2,6
1.5,110,0,96598,2023,2,2
2.0,228,0,120250,2023,2,5
2.0,85,0,60151,2023,2,2
2.5,294,0,108066,2023,2,6
2.0,228,0,110500,2023,2,5
2.0,228,0,120250,2023,2,5
1.5,110,0,85900,2023,2,2
1.0,300,0,249311,2023,2,6
4.0,441,0,338226,2023,2,6
4.0,441,0,328883,2023,2,6
1.0,220,0,170455,2023,2,6
3.0,210,0,239508,2023,2,3
4.0,441,0,294800,2023,2,3
2.0,150,0,142605,2023,2,3
2.0,110,0,78800,2023,2,3
2.0,110,0,78000,2023,2,3
2.0,110,0,65600,2023,0,3
2.0,110,0,78000,2023,2,3
2.0,110,0,78000,2023,2,3
3.0,210,0,265300,2023,2,3
2.0,110,0,69150,2023,2,3
2.0,110,0,78000,2023,2,3
3.0,210,0,158059,2023,2,3
3.0,210,0,190152,2023,2,3
3.0,210,0,199900,2024,2,6
2.0,85,0,57500,2024,0,2
2.0,150,0,145214,2024,2,5
2.0,110,0,117836,2024,2,6
3.0,210,0,187447,2024,2,6
3.0,210,0,202500,2024,2,6
1.5,110,0,59650,2024,2,2
1.5,110,0,60150,2024,2,2
2.0,110,0,104660,2024,2,6
2.0,85,0,62100,2024,2,2
1.5,110,0,59735,2024,2,2
1.5,110,0,59209,2024,2,2
2.0,110,0,99777,2024,2,6
3.0,210,0,199900,2024,2,6
3.0,210,0,201718,2024,2,6
1.5,110,0,60150,2024,2,2
2.0,85,0,60150,2024,2,2
3.0,210,0,204715,2024,2,6
4.0,373,0,271800,2024,2,6
2.0,110,0,102500,2024,2,6
2.0,110,0,99447,2024,2,6
2.0,245,0,113137,2024,2,5
2.9,331,0,265125,2024,2,5
3.0,210,0,210500,2024,2,6
2.0,85,0,60150,2024,2,2
2.0,245,0,109154,2024,2,5
2.0,142,0,112229,2024,2,6
3.0,210,0,213751,2024,2,6
4.0,373,0,256850,2024,2,6
1.5,110,0,60235,2024,2,2
2.0,110,0,78800,2024,2,3
2.0,110,0,69140,2024,2,3
2.0,110,0,69140,2024,2,3
3.0,210,0,162441,2024,2,3
2.0,150,0,147464,2024,2,3
2.0,110,0,69900,2024,2,3
2.0,110,0,69140,2024,2,3
2.0,110,0,69140,2024,2,3
2.0,110,0,71450,2024,2,3
2.0,110,0,79450,2024,2,3
2.0,110,0,69150,2024,2,3
2.0,110,0,69140,2024,2,3
2.0,110,0,69140,2024,2,3
2.0,110,0,69150,2024,2,3
2.0,110,0,69140,2024,2,3
2.0,150,0,99900,2024,2,3
2.0,110,0,69900,2024,2,3
2.0,110,0,71450,2024,2,3
2.0,110,0,69900,2024,2,3
1.9,96,200000,4500,2002,0,2
1.6,74,200000,3550,2002,0,2
3.0,180,1,35500,2014,2,6
3.0,210,1,139000,2019,2,6
2.0,150,1,115000,2022,2,6
3.0,210,1,183377,2022,2,6
2.0,110,1,74500,2022,2,2
2.0,85,1,56400,2022,0,2
2.0,110,1,79000,2022,2,6
3.0,210,1,168643,2022,2,6
2.0,150,1,123000,2022,2,6
2.0,150,1,143154,2022,2,6
2.0,150,1,114000,2022,2,4
0.6,350,1,266000,2022,2,6
2.0,110,1,69000,2022,2,3
3.0,210,1,186721,2023,2,6
3.0,210,1,187469,2023,2,6
3.0,210,1,189673,2023,2,6
2.0,147,1,109485,2023,2,6
2.0,85,1,61100,2023,2,2
2.0,85,1,60150,2023,2,2
2.0,85,1,56600,2023,0,2
2.0,110,1,91180,2023,2,6
2.0,85,1,61608,2023,2,2
2.0,85,1,62500,2023,2,6
3.0,210,1,173058,2023,2,6
3.0,210,1,185244,2023,2,6
3.0,210,1,188016,2023,2,6
2.0,85,1,58100,2023,0,2
2.0,84,1,56600,2023,0,2
2.0,110,1,106566,2023,2,6
2.0,147,1,110404,2023,2,6
2.0,147,1,116957,2023,2,6
2.0,110,1,97108,2023,2,6
2.0,85,1,58600,2023,0,2
2.0,110,1,94741,2023,2,6
0.6,300,1,249311,2023,2,6
2.0,150,1,139493,2023,2,6
2.0,110,1,116371,2023,2,6
2.0,140,1,94835,2023,2,6
2.0,110,1,95048,2023,2,6
2.5,294,1,168716,2023,2,6
2.0,85,1,56600,2023,0,2
2.0,85,1,60476,2023,2,2
2.0,150,1,142045,2023,2,6
3.0,210,1,177416,2023,2,6
2.0,85,1,60476,2023,2,2
2.0,150,1,142045,2023,2,6
2.0,147,1,121461,2023,2,6
2.0,85,1,61309,2023,2,2
2.0,85,1,60476,2023,2,2
2.9,331,1,223012,2023,2,4
2.0,150,1,123373,2023,2,6
2.0,85,1,60650,2023,2,2
2.0,110,1,98108,2023,2,6
2.0,110,1,79800,2023,2,6
2.0,85,1,60650,2023,2,2
2.0,110,1,69140,2023,2,3
2.0,110,1,78350,2023,2,3
2.0,110,1,69140,2023,2,3
2.0,108,1,70700,2023,2,3
2.0,110,1,78350,2023,2,3
3.0,210,1,188294,2023,2,3
3.0,340,1,284664,2023,2,3
