displacement,doors,fuel,kilowatts,location,manufacturer,mileage,model,price,title,year,color,cruiseControl,drivetrain,emissionStandard,rimSize,transmission,type,airCondition,navigation,registration
2.2,5-Apr,Dizel,70,Grude,Mercedes-Benz,230000,220,3200,Mercedes-Benz W210 E  220,1996,Crvena,FALSE,Zadnji,Euro 3,16,Automatik,Limuzina,TRUE,FALSE,FALSE
2.5,5-Apr,Dizel,69,Gradiška,Mercedes-Benz,350000,250,3200,Mercedes-Benz 250 1990,1990,Siva,FALSE,Prednji,Euro 5,16,Manuelni,Limuzina,FALSE,FALSE,FALSE
2.5,5-Apr,Dizel,67,Tomislavgrad,Mercedes-Benz,350000,E 250,6200,Mercedes 124 250d 88g,1988,Siva,FALSE,Prednji,Euro 5,17,Manuelni,Limuzina,FALSE,FALSE,FALSE
2.2,5-Apr,Dizel,85,Sarajevo - Centar,Mercedes-Benz,335968,C 200,4500,Mercedes C200 CDI,2003,Plava,TRUE,Prednji,Euro 3,16,Automatik,Karavan,TRUE,TRUE,TRUE
1.7,5-Apr,Dizel,70,Banja Luka,Mercedes-Benz,237586,A 170,3650,Mercedes-Benz A 170 2002 GOD. REG.DO 1.06.2024.GOD.,2002,Siva,FALSE,Prednji,Euro 3,15,Manuelni,Limuzina,TRUE,FALSE,TRUE
1.8,5-Apr,Benzin,80,Mostar,Mercedes-Benz,250000,190,3700,Mercedes-Benz 190,1990,Crna,FALSE,Zadnji,Euro 0,15,Manuelni,unavailable,FALSE,FALSE,FALSE
2,5-Apr,Plin,104,Lukavac,Mercedes-Benz,2400,200,3750,Mercedes-Benz 210,2003,Siva,FALSE,Prednji,Euro 5,16,Automatik,Malo auto,TRUE,FALSE,TRUE
1.7,5-Apr,Dizel,66,Šamac,Mercedes-Benz,370,A-Klasse (Svi),3150,Mercedes-Benz A-Klasse (svi) 2001,2001,Siva,FALSE,Prednji,Euro 3,15,Manuelni,unavailable,FALSE,FALSE,FALSE
3.2,5-Apr,Dizel,150,Ljubuški,Mercedes-Benz,321544,E 320,2200,Mercedes Okas 210 /320 cdi,2002,Siva,TRUE,Zadnji,Euro 0,16,Automatik,Limuzina,TRUE,FALSE,FALSE
2.4,5-Apr,Dizel,50,Gradiška,Mercedes-Benz,370000,240,3900,Mercedes-Benz 240 1978 god. potez jumbas oldtimer,1978,Zelena,FALSE,Zadnji,Euro 5,16,Manuelni,Limuzina,FALSE,FALSE,FALSE
2.4,5-Apr,Dizel,53,Bijeljina,Mercedes-Benz,252000,240,6000,Mercedes-Benz 240 1982,1982,Zelena,FALSE,Zadnji,Euro 5,14,Manuelni,Limuzina,FALSE,FALSE,FALSE
