displacement,doors,fuel,kilowatts,location,manufacturer,mileage,model,price,title,year,color,cruiseControl,drivetrain,emissionStandard,rimSize,transmission,type,airCondition,navigation,registration,transmission_encoded,type_encoded
1.2,4/5,Dizel,55,Vlasenica,Škoda,199689,Fabia,8900,Skoda Fabia  2011g  1.2TDI full kao nov,2011,Siva,False,Sva četiri,Euro 5,16,Manuelni,Malo auto,True,False,True,0,0
1.6,4/5,Dizel,81,Doboj,Škoda,200650,Octavia,17800,Škoda Octavia,2015,Siva,True,Prednji,Euro 6,16,Manuelni,Limuzina,True,True,False,0,2
1.9,4/5,Dizel,77,Sarajevo - Novi Grad,Škoda,315000,Octavia,9200,Škoda Octavia A5 1.9 TDI BKC 77kW,2008,Siva,True,Prednji,Euro 4,15,Manuelni,Limuzina,True,True,True,0,2
1.2,4/5,Benzin,44,Kiseljak,Škoda,175000,Fabia,9250,SKODA FABIA 1.2 BENZIN 2010 LIMUZINA EURO 5,2010,Plava,False,Prednji,Euro 5,14,Manuelni,Malo auto,True,False,True,0,0
2.0,4/5,Plin,85,Bratunac,Škoda,260874,Octavia,4650,Škoda Octavia 2.0 2002,2002,Siva,False,Prednji,Euro 5,16,Manuelni,Limuzina,False,False,False,0,2
1.9,4/5,Dizel,66,Živinice,Škoda,320200,Octavia,4950,Škoda Octavia 1.9tdi 66kw 2003god. Klima/Senzori,2003,Siva,True,Prednji,Euro 3,15,Manuelni,Limuzina,True,False,False,0,2
1.9,4/5,Dizel,47,Jablanica,Škoda,248346,Felicia,2000,Škoda Felicia 1997,1997,Bijela,False,Prednji,Euro 2,16,Manuelni,Malo auto,False,False,True,0,0
1.4,4/5,Benzin,44,Ilijaš,Škoda,330000,Fabia,3700,Škoda Fabia,2001,Plava,False,Prednji,Euro 5,14,Manuelni,Malo auto,True,False,True,0,0
1.4,4/5,Benzin,52,Brčko,Škoda,211000,Fabia,5000,Škoda Fabia 2003 066 432 075,2003,Crvena,False,Prednji,Euro 5,14,Manuelni,Malo auto,False,False,False,0,0
1.9,4/5,Dizel,66,Zenica,Škoda,400000,Octavia,4000,Škoda Octavia 2001 FIXNO,2001,Zelena,False,Prednji,Euro 3,15,Manuelni,Limuzina,True,False,True,0,2
1.6,4/5,Benzin,118,Živinice,Škoda,235000,Octavia,3200,Škoda Octavia 1.6 55kw,1997,Crvena,False,Prednji,Euro 2,14,Manuelni,Limuzina,False,False,True,0,2
1.6,4/5,Benzin,118,Gradačac,Škoda,229000,Octavia,2700,"Škoda Octavia limuzina 1.6 benzin, 55 kw, 1997.god.",1997,Crvena,False,Prednji,Euro 5,15,Manuelni,Limuzina,False,False,True,0,2
1.2,4/5,Benzin,47,Tuzla,Škoda,280000,Fabia,4900,Škoda Fabia,2006,Zelena,False,Prednji,Euro 5,16,Manuelni,Malo auto,True,False,True,0,0
