displacement,kilowatts,mileage,price,year,transmission_encoded,type_encoded
1.2,55,199689,8900,2011,0,0
1.6,81,200650,17800,2015,0,2
1.9,77,315000,9200,2008,0,2
1.2,44,175000,9250,2010,0,0
2.0,85,260874,4650,2002,0,2
1.9,66,320200,4950,2003,0,2
1.9,47,248346,2000,1997,0,0
1.4,44,330000,3700,2001,0,0
1.4,52,211000,5000,2003,0,0
1.9,66,400000,4000,2001,0,2
1.6,118,235000,3200,1997,0,2
1.6,118,229000,2700,1997,0,2
1.2,47,280000,4900,2006,0,0
2.0,85,300000,3100,2001,0,2
1.2,47,171000,4880,2006,0,0
1.9,47,300000,3500,2001,0,0
1.2,55,221000,8950,2011,0,0
1.8,118,234000,9999,2011,0,2
1.2,55,178000,8900,2010,0,0
1.2,55,229000,8499,2010,0,0
1.4,64,290000,4950,2009,0,1
1.2,51,204566,6950,2008,0,0
1.2,44,118333,7650,2009,0,0
1.4,51,390000,6900,2009,0,0
1.6,66,239153,9990,2010,0,0
1.9,96,297000,6350,2004,0,2
1.9,77,355100,7650,2005,0,2
1.6,75,27011,7500,2006,0,2
1.2,55,211000,9300,2010,0,0
1.6,77,210000,12200,2011,0,2
1.6,77,220000,12400,2011,0,2
1.6,77,270000,11400,2010,0,2
1.9,77,287000,11999,2009,0,2
2.0,147,205000,12900,2009,2,2
1.6,77,228000,12350,2011,0,2
1.8,118,140000,11999,2010,0,5
1.6,81,230154,14990,2014,0,2
1.6,77,230000,11950,2014,0,0
1.6,66,212000,11600,2014,0,0
2.0,103,189000,14860,2011,0,2
1.6,77,218547,11999,2012,0,2
1.6,77,164500,14800,2013,0,2
1.6,77,24566,11650,2012,0,2
2.0,103,235000,12900,2009,0,2
1.6,66,163000,14000,2014,0,0
1.6,66,225000,10400,2012,0,0
2.0,103,270000,18900,2012,2,2
2.0,110,235000,18500,2013,2,2
2.0,103,235452,15500,2010,0,5
2.0,110,283235,19999,2014,2,2
1.4,55,173442,15900,2017,0,0
1.6,85,265728,15989,2017,0,2
1.6,77,298000,18800,2015,0,2
1.6,77,223000,16700,2013,2,2
1.4,55,197123,15150,2016,0,0
2.0,103,239321,16700,2010,2,5
2.0,103,179280,15900,2011,0,5
1.6,77,203100,18499,2015,0,2
1.9,66,127000,5950,2004,0,2
1.6,77,220000,17400,2014,0,2
1.4,66,270000,15300,2018,0,0
1.6,77,255765,15500,2013,0,2
1.6,77,233258,18900,2014,0,2
2.0,125,264152,17200,2011,2,2
1.6,81,187500,21500,2016,0,2
2.0,103,195000,18500,2013,2,3
2.0,103,279000,18700,2012,2,3
1.6,81,289000,16999,2014,0,2
1.6,77,192000,19100,2014,0,2
1.6,77,218087,19900,2015,0,2
2.0,103,211000,15500,2013,0,2
2.0,110,260000,20000,2014,2,2
1.9,77,390000,18800,2009,0,2
1.6,81,247000,17500,2015,0,2
1.2,81,218000,17800,2015,0,2
2.0,110,265000,21700,2017,0,2
2.0,103,300000,20444,2011,2,5
1.6,81,245000,20900,2016,0,2
2.0,135,199000,22990,2015,2,2
2.0,135,278000,20900,2015,2,2
1.6,85,209000,23300,2017,2,2
1.6,85,207000,23900,2017,2,2
1.6,85,215000,21900,2018,0,2
2.0,135,230000,22900,2016,2,2
1.4,66,138703,27990,2018,2,0
2.0,103,226000,21900,2014,0,5
2.0,103,226358,23800,2014,0,5
2.0,110,238000,22900,2017,0,2
2.0,110,230,23000,2015,2,2
1.6,85,243000,23909,2018,0,2
1.6,66,228000,21999,2016,0,2
1.6,85,308000,24990,2019,0,0
1.6,81,125000,21900,2016,2,2
1.6,85,255120,23900,2017,0,2
2.0,103,215000,20300,2013,0,2
1.6,81,221000,21900,2016,2,2
2.0,135,247000,23800,2016,2,2
2.0,125,218000,20900,2012,1,2
2.0,110,275000,21299,2015,0,2
1.4,66,165000,17500,2017,2,0
1.6,85,266589,22700,2017,2,2
2.0,110,287000,23900,2014,0,3
2.0,110,204586,27989,2019,0,2
2.0,110,184000,27900,2016,0,3
2.0,109,191000,25900,2015,0,3
2.0,110,268250,29900,2017,0,2
2.0,135,280000,29900,2017,2,2
2.0,110,225000,24999,2018,2,2
2.0,135,231000,25900,2015,2,2
1.6,85,153314,28900,2018,0,2
2.0,110,222000,28800,2016,0,2
2.0,110,150000,27250,2016,0,2
2.0,110,198000,28900,2017,0,2
1.6,85,230000,28900,2017,0,2
1.6,88,211452,26800,2018,2,2
1.6,85,184,24900,2018,2,2
2.0,110,204700,27900,2017,2,2
1.6,85,198700,25900,2018,0,2
2.0,110,240000,28400,2017,0,2
1.6,85,114000,29980,2018,0,2
2.0,135,250000,26900,2014,2,2
1.6,85,183000,28990,2017,2,2
1.6,88,211000,28900,2016,0,2
3.6,191,199479,25900,2011,2,2
1.6,85,174000,26000,2017,0,2
1.6,85,204000,28900,2019,0,5
1.6,85,111000,28900,2017,2,2
2.0,110,193100,27190,2015,0,2
2.0,140,90000,47800,2018,2,2
2.0,110,5,71157,2023,2,2
2.0,110,169900,35000,2018,2,2
2.0,110,178000,37500,2017,2,3
2.0,110,221000,45999,2018,2,5
2.0,110,225850,31999,2018,2,2
2.0,140,206100,45500,2017,2,2
2.0,110,227286,36989,2018,2,5
2.0,110,118568,45000,2018,2,2
2.0,140,200000,41500,2018,2,5
2.0,110,8,60995,2023,2,2
2.0,110,184000,40999,2018,2,5
2.0,110,84100,32300,2019,0,2
2.0,140,137830,62000,2020,2,5
