displacement,kilowatts,mileage,price,year,rimSize
2.0,140.0,150000.0,53000,2018.0,19.0
1.6,88.0,166.0,26500,2016.0,17.0
1.6,77.0,230000.0,13000,2010.0,16.0
1.6,72.0,220000.0,9000,1989.0,16.0
2.0,103.0,280000.0,19900,2011.0,18.0
1.6,77.0,250000.0,12400,2010.0,18.0
1.9,110.0,256000.0,7500,2004.0,16.0
1.9,74.0,315.0,4700,2001.0,17.0
1.8,55.0,32321.0,3100,1997.0,16.0
1.6,74.0,300000.0,2500,1999.0,16.0
1.9,66.0,291000.0,2500,1997.0,14.0
1.9,81.0,228000.0,3700,1999.0,15.0
1.9,66.0,365301.0,1650,1997.0,16.0
1.9,66.0,285000.0,5400,2000.0,16.0
1.9,81.0,300000.0,4850,2001.0,16.0
1.4,44.0,300000.0,3200,2001.0,15.0
1.9,77.0,285121.0,7900,2004.0,16.0
2.0,103.0,300.0,9250,2006.0,16.0
1.4,55.0,276000.0,5350,2003.0,14.0
2.0,103.0,260000.0,9400,2007.0,16.0
2.0,103.0,290000.0,8999,2007.0,16.0
1.9,77.0,286404.0,9000,2005.0,15.0
1.9,77.0,290000.0,8300,2005.0,16.0
1.2,55.0,154000.0,9800,2010.0,15.0
2.0,103.0,316850.0,8299,2007.0,16.0
1.9,77.0,300000.0,9300,2005.0,16.0
2.0,103.0,260000.0,9250,2005.0,16.0
1.9,77.0,300000.0,8750,2008.0,16.0
1.9,77.0,330000.0,7250,2004.0,16.0
1.9,77.0,252500.0,9500,2007.0,16.0
1.9,96.0,286000.0,6999,2001.0,16.0
1.4,55.0,267000.0,14899,2016.0,15.0
1.2,55.0,174000.0,10900,2011.0,16.0
2.0,81.0,250000.0,13200,2009.0,17.0
1.6,77.0,186000.0,14900,2011.0,16.0
1.6,55.0,174250.0,12900,2013.0,14.0
1.6,55.0,227860.0,12800,2013.0,15.0
1.6,77.0,273000.0,13999,2010.0,17.0
2.0,81.0,320.0,11650,2009.0,16.0
1.6,77.0,290000.0,11999,2010.0,16.0
2.0,81.0,229000.0,10500,2009.0,16.0
1.6,77.0,178000.0,12250,2010.0,16.0
2.0,81.0,225000.0,13450,2009.0,17.0
1.9,77.0,269000.0,11400,2008.0,16.0
2.0,103.0,269000.0,11900,2009.0,16.0
2.0,81.0,245000.0,11990,2009.0,16.0
1.6,77.0,276000.0,14200,2011.0,17.0
1.6,66.0,239000.0,18900,2014.0,15.0
1.6,75.0,235000.0,17999,2011.0,16.0
2.0,103.0,216000.0,19700,2011.0,17.0
2.0,125.0,289300.0,17950,2011.0,17.0
1.6,77.0,254320.0,16950,2014.0,16.0
1.4,110.0,240000.0,16800,2008.0,16.0
2.0,103.0,260000.0,18500,2009.0,16.0
1.6,77.0,231222.0,16350,2011.0,16.0
