displacement,kilowatts,mileage,price,year,rimSize
1.8,110.0,400.0,3700,2001.0,15.0
1.6,74.0,270000.0,1950,1996.0,15.0
2.2,100.0,348000.0,5000,1983.0,15.0
2.5,110.0,362000.0,4800,1999.0,16.0
2.0,125.0,325000.0,10500,2008.0,18.0
2.4,85.0,224125.0,3250,1998.0,15.0
2.0,85.0,320000.0,1100,1994.0,16.0
1.8,123.0,225000.0,1000,1986.0,16.0
1.9,105.0,422000.0,2900,1995.0,15.0
2.5,120.0,311000.0,4900,2003.0,16.0
2.5,132.0,400000.0,5750,2004.0,16.0
1.9,96.0,589800.0,7990,2001.0,15.0
2.4,125.0,158660.0,13990,2003.0,18.0
3.0,150.0,270000.0,9500,2005.0,15.0
1.9,180.0,350000.0,6999,2003.0,16.0
1.9,85.0,111.0,5200,2000.0,15.0
1.6,85.0,270000.0,5300,2004.0,15.0
1.8,150.0,113000.0,9000,2004.0,16.0
2.0,103.0,256323.0,10000,2007.0,17.0
1.9,85.0,250000.0,10000,2005.0,16.0
1.9,85.0,276000.0,8990,2004.0,15.0
1.9,180.0,395000.0,4600,2000.0,16.0
2.0,103.0,275000.0,9200,2006.0,16.0
2.0,103.0,290000.0,9800,2005.0,16.0
2.0,103.0,250569.0,15000,2009.0,17.0
1.6,77.0,219000.0,11950,2009.0,15.0
3.0,165.0,272000.0,11900,2004.0,17.0
2.0,147.0,250000.0,8450,2005.0,16.0
1.6,77.0,261000.0,13900,2010.0,16.0
1.6,77.0,156021.0,15000,2010.0,16.0
2.0,103.0,261000.0,14400,2009.0,16.0
2.7,140.0,203000.0,13990,2010.0,16.0
1.6,77.0,272000.0,13700,2009.0,17.0
1.6,77.0,227265.0,12600,2010.0,15.0
2.4,130.0,276000.0,12900,2005.0,17.0
1.9,85.0,355600.0,10900,2006.0,16.0
2.0,88.0,333000.0,14500,2009.0,16.0
1.9,85.0,350000.0,10800,2007.0,17.0
1.6,77.0,230000.0,13950,2010.0,17.0
1.6,77.0,170491.0,14800,2010.0,15.0
1.6,77.0,222162.0,12600,2010.0,15.0
1.6,77.0,267340.0,15400,2010.0,16.0
1.6,77.0,221310.0,13950,2011.0,15.0
2.0,88.0,316000.0,15500,2010.0,16.0
2.0,88.0,217880.0,16700,2009.0,16.0
2.0,88.0,221656.0,19550,2012.0,16.0
2.0,88.0,254000.0,15800,2009.0,17.0
2.0,100.0,261000.0,19900,2010.0,16.0
2.0,105.0,321521.0,19650,2008.0,18.0
2.7,140.0,222222.0,16250,2009.0,18.0
1.6,77.0,173000.0,15450,2011.0,17.0
1.8,118.0,138000.0,16700,2010.0,16.0
2.0,103.0,198000.0,17800,2012.0,17.0
2.0,125.0,195242.0,18500,2010.0,17.0
2.7,140.0,230000.0,17999,2009.0,18.0
2.0,88.0,258000.0,16950,2010.0,16.0
2.0,103.0,265000.0,15500,2009.0,16.0
2.0,105.0,221123.0,16400,2010.0,17.0
2.0,105.0,220000.0,14675,2009.0,17.0
2.0,105.0,300000.0,17990,2011.0,16.0
2.0,125.0,262000.0,19250,2009.0,20.0
2.0,105.0,284000.0,16990,2009.0,16.0
2.0,88.0,240000.0,16000,2008.0,18.0
1.6,77.0,225000.0,16900,2009.0,16.0
2.0,103.0,236587.0,15500,2009.0,16.0
3.0,176.0,310000.0,16900,2010.0,19.0
3.0,176.0,423366.0,16990,2009.0,18.0
2.0,105.0,260000.0,15499,2009.0,17.0
2.0,110.0,258000.0,22999,2013.0,17.0
2.0,103.0,220000.0,22000,2012.0,16.0
2.0,110.0,280000.0,23200,2013.0,17.0
2.0,125.0,225000.0,22999,2010.0,17.0
3.0,180.0,246000.0,24900,2009.0,19.0
1.6,77.0,184677.0,28600,2014.0,17.0
3.0,105.0,262000.0,13800,2010.0,18.0
1.6,77.0,262000.0,21990,2013.0,16.0
2.0,100.0,249000.0,20900,2008.0,16.0
2.0,125.0,208000.0,20499,2011.0,18.0
3.0,176.0,345216.0,27990,2008.0,19.0
2.0,110.0,236000.0,23450,2013.0,17.0
2.0,88.0,234000.0,21900,2011.0,16.0
3.0,176.0,300000.0,24900,2009.0,18.0
2.0,105.0,305000.0,22000,2011.0,18.0
2.0,100.0,230000.0,23900,2011.0,16.0
2.0,105.0,236000.0,20800,2012.0,16.0
2.7,140.0,265000.0,22599,2011.0,17.0
3.0,176.0,248107.0,20800,2009.0,18.0
3.0,176.0,205150.0,22800,2010.0,17.0
2.0,103.0,248000.0,20999,2013.0,16.0
2.0,120.0,238330.0,22400,2010.0,19.0
2.0,130.0,260000.0,22999,2013.0,16.0
2.0,105.0,160000.0,23990,2010.0,16.0
2.0,130.0,270000.0,22500,2012.0,17.0
1.6,85.0,203000.0,21500,2015.0,15.0
2.7,140.0,284000.0,18500,2009.0,19.0
3.0,176.0,231000.0,29990,2010.0,20.0
3.0,176.0,284000.0,24000,2010.0,17.0
2.0,110.0,281000.0,24900,2013.0,16.0
1.6,81.0,238000.0,29700,2016.0,16.0
2.0,120.0,257000.0,26500,2012.0,17.0
2.0,88.0,174252.0,25500,2012.0,17.0
3.0,176.0,242000.0,25999,2010.0,19.0
2.0,105.0,207000.0,27990,2009.0,16.0
3.0,176.0,240000.0,28900,2010.0,16.0
4.2,240.0,270.0,26900,2008.0,20.0
1.6,81.0,249000.0,27900,2015.0,17.0
2.0,110.0,235000.0,27950,2014.0,17.0
2.0,195.0,211000.0,23300,2010.0,18.0
2.0,130.0,256000.0,26900,2012.0,18.0
2.0,100.0,221278.0,27990,2012.0,16.0
2.0,105.0,201000.0,24999,2012.0,17.0
3.0,176.0,280000.0,29000,2009.0,20.0
2.0,155.0,176500.0,25000,2010.0,19.0
2.0,125.0,232000.0,25800,2011.0,18.0
2.0,125.0,280000.0,25500,2010.0,17.0
3.0,179.0,174256.0,29250,2012.0,17.0
3.0,176.0,232000.0,25990,2010.0,19.0
3.0,176.0,262000.0,28000,2011.0,18.0
2.0,125.0,217032.0,26200,2011.0,19.0
2.0,140.0,237000.0,44999,2016.0,16.0
3.0,176.0,227000.0,36990,2010.0,20.0
2.0,140.0,169000.0,70990,2019.0,19.0
3.0,180.0,218000.0,36000,2012.0,17.0
3.0,210.0,70000.0,79990,2018.0,18.0
2.0,140.0,121000.0,68500,2019.0,16.0
