displacement,kilowatts,mileage,price,year,rimSize
2.2,70.0,230000.0,3200,1996.0,16.0
2.5,69.0,350000.0,3200,1990.0,16.0
2.5,67.0,350000.0,6200,1988.0,17.0
2.2,85.0,335968.0,4500,2003.0,16.0
1.7,70.0,237586.0,3650,2002.0,15.0
1.8,80.0,250000.0,3700,1990.0,15.0
2.0,104.0,2400.0,3750,2003.0,16.0
1.7,66.0,370.0,3150,2001.0,15.0
3.2,150.0,321544.0,2200,2002.0,16.0
2.4,50.0,370000.0,3900,1978.0,16.0
2.4,53.0,252000.0,6000,1982.0,14.0
2.0,80.0,203000.0,4400,2005.0,16.0
2.0,60.0,175000.0,8800,2010.0,16.0
2.2,100.0,425000.0,7500,2006.0,16.0
2.0,103.0,304000.0,9500,2008.0,16.0
2.2,105.0,395804.0,6999,2003.0,16.0
2.0,105.0,340823.0,4900,2000.0,16.0
2.2,105.0,320000.0,7000,2003.0,16.0
2.2,110.0,295000.0,7800,2005.0,17.0
1.6,63.0,315000.0,6800,2007.0,16.0
1.8,80.0,300000.0,9500,2010.0,15.0
1.8,80.0,290700.0,6280,2005.0,15.0
2.2,90.0,385385.0,8400,2003.0,17.0
3.2,165.0,350000.0,4900,1999.0,16.0
2.2,110.0,250000.0,8900,2004.0,16.0
3.2,130.0,299000.0,10000,2004.0,16.0
2.0,83.0,280000.0,8000,2005.0,16.0
2.5,66.0,500.0,7800,1989.0,16.0
2.2,85.0,210000.0,7100,2003.0,16.0
3.2,150.0,328000.0,10999,2003.0,16.0
2.2,100.0,3.0,12500,2010.0,16.0
2.2,100.0,322000.0,13000,2010.0,16.0
2.7,125.0,320000.0,13200,2005.0,16.0
2.2,85.0,360000.0,14300,2006.0,17.0
1.8,80.0,325000.0,11500,2008.0,16.0
2.2,100.0,319129.0,14500,2009.0,16.0
2.2,120.0,316000.0,12999,2005.0,16.0
3.0,165.0,355000.0,13400,2005.0,18.0
2.0,103.0,290000.0,11300,2008.0,16.0
2.2,100.0,384000.0,12500,2011.0,16.0
2.2,100.0,264000.0,11900,2005.0,16.0
3.2,150.0,415000.0,10600,2005.0,16.0
2.2,99.0,390800.0,17000,2011.0,16.0
2.0,70.0,173300.0,10900,2007.0,16.0
2.0,90.0,260000.0,12000,2004.0,18.0
2.2,90.0,394000.0,9200,2006.0,16.0
2.7,130.0,285000.0,11800,2002.0,17.0
2.0,60.0,227000.0,10400,2011.0,16.0
2.2,100.0,250000.0,13300,2010.0,16.0
2.2,85.0,229632.0,13500,2007.0,16.0
2.2,110.0,320000.0,15500,2003.0,16.0
2.2,100.0,339000.0,19750,2010.0,17.0
2.2,100.0,241000.0,17300,2012.0,16.0
2.2,88.0,243000.0,18900,2012.0,17.0
2.2,125.0,191200.0,18900,2012.0,16.0
2.2,125.0,256000.0,18500,2009.0,16.0
3.0,185.0,265000.0,19000,2007.0,19.0
2.0,100.0,455000.0,20000,2009.0,17.0
2.2,88.0,221085.0,16500,2011.0,17.0
2.2,125.0,370000.0,17500,2012.0,17.0
2.2,125.0,249232.0,18650,2011.0,16.0
1.8,80.0,230000.0,18000,2012.0,16.0
2.2,85.0,341244.0,15500,2007.0,16.0
1.8,120.0,255000.0,19900,2005.0,16.0
3.0,140.0,267000.0,14900,2006.0,18.0
2.2,125.0,309000.0,18200,2008.0,17.0
2.2,100.0,243000.0,16800,2012.0,16.0
2.0,140.0,130000.0,18000,2013.0,16.0
2.2,100.0,279000.0,16800,2011.0,16.0
1.6,88.0,179835.0,17900,2014.0,16.0
3.0,165.0,230000.0,19500,2007.0,16.0
2.2,100.0,360000.0,14300,2009.0,16.0
2.2,100.0,277000.0,18800,2009.0,17.0
2.0,100.0,289000.0,17900,2010.0,16.0
2.7,120.0,365500.0,17900,2002.0,17.0
1.8,80.0,220000.0,17990,2012.0,16.0
2.2,125.0,217800.0,21500,2011.0,17.0
1.8,100.0,297000.0,22500,2013.0,18.0
2.2,100.0,379689.0,22000,2013.0,16.0
2.2,125.0,270000.0,22900,2009.0,17.0
3.0,170.0,284000.0,22900,2009.0,18.0
2.2,125.0,261000.0,23999,2013.0,17.0
1.8,120.0,256000.0,20500,2011.0,18.0
2.2,100.0,203000.0,22800,2012.0,17.0
2.2,88.0,290000.0,21900,2011.0,17.0
2.2,125.0,221000.0,23300,2014.0,17.0
2.2,100.0,221000.0,19800,2011.0,16.0
2.2,85.0,320.0,19300,2008.0,16.0
1.5,80.0,162700.0,24500,2015.0,16.0
2.2,150.0,261000.0,24800,2011.0,17.0
2.0,100.0,301500.0,19500,2010.0,18.0
2.2,100.0,288000.0,22000,2010.0,18.0
3.0,155.0,330000.0,23800,2007.0,16.0
2.2,110.0,250000.0,22500,2008.0,16.0
2.4,150.0,89000.0,22500,2004.0,16.0
2.2,88.0,300000.0,22500,2011.0,16.0
2.2,125.0,230000.0,21300,2009.0,17.0
2.2,100.0,216000.0,22900,2011.0,16.0
3.0,170.0,328017.0,23900,2010.0,18.0
2.2,110.0,290000.0,23000,2007.0,16.0
2.2,70.0,244000.0,23800,2011.0,17.0
2.2,100.0,300500.0,20500,2011.0,16.0
2.2,100.0,270800.0,22500,2011.0,16.0
1.5,80.0,215000.0,22000,2012.0,17.0
2.2,125.0,255000.0,25000,2010.0,17.0
1.5,80.0,192650.0,28980,2017.0,16.0
2.2,125.0,187.0,26900,2012.0,18.0
3.0,170.0,245000.0,25900,2010.0,18.0
2.2,125.0,230000.0,24900,2009.0,17.0
3.0,165.0,286000.0,26700,2009.0,20.0
2.2,100.0,250000.0,26500,2012.0,17.0
3.0,173.0,206321.0,27990,2007.0,17.0
2.0,100.0,265000.0,24350,2015.0,16.0
2.2,100.0,233000.0,29900,2013.0,17.0
4.2,231.0,320000.0,29000,2007.0,19.0
2.2,110.0,387.0,26500,2007.0,16.0
3.0,170.0,176420.0,27500,2012.0,17.0
1.5,80.0,181000.0,28900,2016.0,16.0
4.0,225.0,384000.0,27222,2007.0,18.0
2.2,150.0,210000.0,27990,2013.0,17.0
3.0,170.0,304000.0,30000,2010.0,17.0
3.2,173.0,230000.0,26500,2007.0,19.0
2.2,100.0,293499.0,29900,2014.0,19.0
2.2,150.0,259000.0,28900,2011.0,19.0
2.2,150.0,290000.0,27800,2010.0,18.0
2.2,100.0,519333.0,21999,2016.0,16.0
2.2,88.0,200000.0,23700,2014.0,16.0
3.0,173.0,283580.0,26900,2006.0,17.0
2.2,100.0,187000.0,32900,2014.0,18.0
2.2,125.0,301000.0,26900,2011.0,17.0
2.2,125.0,259000.0,24900,2009.0,17.0
1.5,80.0,207850.0,28500,2016.0,16.0
2.2,150.0,193500.0,39500,2014.0,17.0
3.0,70.0,29000.0,49950,1986.0,16.0
2.0,110.0,215000.0,65999,2018.0,17.0
2.2,143.0,61986.0,72900,2019.0,17.0
0.6,300.0,18700.0,100000,2020.0,20.0
3.0,190.0,181000.0,88000,2016.0,20.0
2.0,110.0,160500.0,55900,2018.0,16.0
1.5,85.0,146250.0,49900,2020.0,16.0
2.2,143.0,100000.0,53000,2018.0,16.0
2.2,130.0,119844.0,51000,2018.0,18.0
2.0,143.0,224000.0,55900,2018.0,19.0
2.2,100.0,139000.0,37900,2014.0,16.0
2.2,143.0,105000.0,85000,2018.0,16.0
2.0,110.0,108000.0,44500,2019.0,16.0
2.0,110.0,299500.0,51900,2016.0,19.0
