displacement,doors,fuel,kilowatts,location,manufacturer,mileage,model,price,title,updatedAt,year,color,cruiseControl,drivetrain,emissionStandard,rimSize,transmission,type,airCondition,navigation,registration
1.2,4/5,Dizel,55.0,Vlasenica,Škoda,199689.0,Fabia,8900,Skoda Fabia  2011g  1.2TDI full kao nov,2023-09-09T07:44:11.387Z,2011.0,Siva,FALSE,Sva četiri,Euro 5,16.0,Manuelni,unavailable,True,FALSE,True
1.6,4/5,Dizel,81.0,Doboj,Škoda,200650.0,Octavia,17800,Škoda Octavia,2024-05-18T08:33:11.164Z,2015.0,Siva,True,Prednji,Euro 6,16.0,Manuelni,Limuzina,True,True,FALSE
1.9,4/5,Dizel,77.0,Sarajevo - Novi Grad,Škoda,315000.0,Octavia,9200,Škoda Octavia A5 1.9 TDI BKC 77kW,2023-09-30T07:14:05.713Z,2008.0,Siva,True,Prednji,Euro 4,15.0,Manuelni,Karavan,True,True,True
1.2,4/5,Benzin,44.0,Kiseljak,Škoda,175000.0,Fabia,9250,SKODA FABIA 1.2 BENZIN 2010 LIMUZINA EURO 5,2023-10-28T05:51:37.080Z,2010.0,Plava,FALSE,Prednji,Euro 5,14.0,Manuelni,unavailable,True,FALSE,True
2.0,4/5,Plin,85.0,Bratunac,Škoda,260874.0,Octavia,4650,Škoda Octavia 2.0 2002,2023-07-08T02:54:43.248Z,2002.0,Siva,FALSE,Prednji,Euro 5,16.0,Manuelni,unavailable,FALSE,FALSE,FALSE
1.9,4/5,Dizel,66.0,Živinice,Škoda,320200.0,Octavia,4950,Škoda Octavia 1.9tdi 66kw 2003god. Klima/Senzori,2023-06-24T17:58:26.128Z,2003.0,Siva,True,Prednji,Euro 3,15.0,Manuelni,Limuzina,True,FALSE,FALSE
1.9,4/5,Dizel,47.0,Jablanica,Škoda,248346.0,Felicia,2000,Škoda Felicia 1997,2023-06-24T17:58:26.128Z,1997.0,Bijela,FALSE,Prednji,Euro 2,16.0,Manuelni,Limuzina,FALSE,FALSE,True
1.4,4/5,Benzin,44.0,Ilijaš,Škoda,330000.0,Fabia,3700,Škoda Fabia,2023-07-08T02:54:43.248Z,2001.0,Plava,FALSE,Prednji,Euro 5,14.0,Manuelni,Malo auto,True,FALSE,True
1.4,4/5,Benzin,52.0,Brčko,Škoda,211000.0,Fabia,5000,Škoda Fabia 2003 066 432 075,2023-07-15T08:32:33.884Z,2003.0,Crvena,FALSE,Prednji,Euro 5,14.0,Manuelni,Malo auto,FALSE,FALSE,FALSE
1.9,4/5,Dizel,66.0,Zenica,Škoda,400000.0,Octavia,4000,Škoda Octavia 2001 FIXNO,2023-08-05T04:36:39.195Z,2001.0,Zelena,FALSE,Prednji,Euro 3,15.0,Manuelni,Karavan,True,FALSE,True
1.6,4/5,Benzin,118.0,Živinice,Škoda,235000.0,Octavia,3200,Škoda Octavia 1.6 55kw,2023-07-08T02:54:43.248Z,1997.0,Crvena,FALSE,Prednji,Euro 2,14.0,Manuelni,unavailable,FALSE,FALSE,True
1.6,4/5,Benzin,118.0,Gradačac,Škoda,229000.0,Octavia,2700,"Škoda Octavia limuzina 1.6 benzin, 55 kw, 1997.god.",2023-06-24T17:58:26.128Z,1997.0,Crvena,FALSE,Prednji,Euro 5,15.0,Manuelni,Limuzina,FALSE,FALSE,True
1.2,4/5,Benzin,47.0,Tuzla,Škoda,280000.0,Fabia,4900,Škoda Fabia,2023-06-24T17:58:26.128Z,2006.0,Zelena,FALSE,Prednji,Euro 5,16.0,Manuelni,unavailable,True,FALSE,True
